model,alpha,ndcg,hr,LIR
VRKG4Rec_ep29,0.0000,0.1608,0.2513,0.0466
VRKG4Rec_ep29,0.0500,0.1608,0.2513,0.0652
VRKG4Rec_ep29,0.1000,0.1608,0.2513,0.0688
VRKG4Rec_ep29,0.1500,0.1608,0.2513,0.0706
VRKG4Rec_ep29,0.2000,0.1608,0.2513,0.0711
VRKG4Rec_ep29,0.2500,0.1607,0.2513,0.0713
VRKG4Rec_ep29,0.3000,0.1607,0.2513,0.0713
VRKG4Rec_ep29,0.3500,0.1607,0.2513,0.0717
VRKG4Rec_ep29,0.4000,0.1607,0.2513,0.0717
VRKG4Rec_ep29,0.4500,0.1606,0.2513,0.0717
VRKG4Rec_ep29,0.5000,0.1606,0.2513,0.0718
VRKG4Rec_ep29,0.5500,0.1606,0.2513,0.0718
VRKG4Rec_ep29,0.6000,0.1606,0.2513,0.0718
VRKG4Rec_ep29,0.6500,0.1606,0.2513,0.0718
VRKG4Rec_ep29,0.7000,0.1606,0.2513,0.0718
VRKG4Rec_ep29,0.7500,0.1606,0.2513,0.0718
VRKG4Rec_ep29,0.8000,0.1606,0.2513,0.0718
VRKG4Rec_ep29,0.8500,0.1606,0.2513,0.0718
VRKG4Rec_ep29,0.9000,0.1606,0.2513,0.0718
VRKG4Rec_ep29,0.9500,0.1606,0.2513,0.0718
VRKG4Rec_ep29,1.0000,0.1606,0.2513,0.0718
PGPR,0.0000,0.1215,0.1980,0.0857
PGPR,0.0500,0.1217,0.1982,0.1537
PGPR,0.1000,0.1212,0.1969,0.1556
PGPR,0.1500,0.1204,0.1952,0.1567
PGPR,0.2000,0.1190,0.1930,0.1577
PGPR,0.2500,0.1187,0.1920,0.1583
PGPR,0.3000,0.1183,0.1911,0.1589
PGPR,0.3500,0.1173,0.1899,0.1593
PGPR,0.4000,0.1171,0.1895,0.1596
PGPR,0.4500,0.1170,0.1893,0.1598
PGPR,0.5000,0.1168,0.1888,0.1600
PGPR,0.5500,0.1167,0.1886,0.1601
PGPR,0.6000,0.1166,0.1884,0.1602
PGPR,0.6500,0.1166,0.1881,0.1603
PGPR,0.7000,0.1163,0.1877,0.1603
PGPR,0.7500,0.1161,0.1873,0.1604
PGPR,0.8000,0.1159,0.1869,0.1604
PGPR,0.8500,0.1158,0.1867,0.1605
PGPR,0.9000,0.1156,0.1864,0.1605
PGPR,0.9500,0.1153,0.1858,0.1605
PGPR,1.0000,0.0664,0.0911,0.1605
